Distributed training: False
Set random seed to 0
**********************Start training**********************
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
epoch[1][20/1856]: lr: 0.000300, aux_loss_cls: 0.242745, aux_loss_reg: 0.938759, rpn_loc_loss: 3.960874, rpn_cls_loss: 6.473553, rpn_dir_loss: 0.179408, loss_cls: 29.792757, loss: 41.588094
epoch[1][40/1856]: lr: 0.000300, aux_loss_cls: 0.191136, aux_loss_reg: 0.891516, rpn_loc_loss: 2.003706, rpn_cls_loss: 0.791772, rpn_dir_loss: 0.139991, loss_cls: 8.492040, loss: 12.510161
epoch[1][60/1856]: lr: 0.000300, aux_loss_cls: 0.121180, aux_loss_reg: 0.769289, rpn_loc_loss: 1.649633, rpn_cls_loss: 0.689105, rpn_dir_loss: 0.138080, loss_cls: 3.987274, loss: 7.354560
epoch[1][80/1856]: lr: 0.000300, aux_loss_cls: 0.119514, aux_loss_reg: 0.797293, rpn_loc_loss: 1.627450, rpn_cls_loss: 0.638961, rpn_dir_loss: 0.143972, loss_cls: 1.324786, loss: 4.651977
epoch[1][100/1856]: lr: 0.000300, aux_loss_cls: 0.100801, aux_loss_reg: 0.694774, rpn_loc_loss: 1.632943, rpn_cls_loss: 0.652331, rpn_dir_loss: 0.139146, loss_cls: 1.499722, loss: 4.719717
epoch[1][120/1856]: lr: 0.000300, aux_loss_cls: 0.105035, aux_loss_reg: 0.701484, rpn_loc_loss: 1.530753, rpn_cls_loss: 0.611465, rpn_dir_loss: 0.137752, loss_cls: 0.795507, loss: 3.881996
epoch[1][140/1856]: lr: 0.000300, aux_loss_cls: 0.108667, aux_loss_reg: 0.706634, rpn_loc_loss: 1.288348, rpn_cls_loss: 0.582218, rpn_dir_loss: 0.136946, loss_cls: 0.484734, loss: 3.307548
epoch[1][160/1856]: lr: 0.000300, aux_loss_cls: 0.094979, aux_loss_reg: 0.621692, rpn_loc_loss: 1.148261, rpn_cls_loss: 0.563398, rpn_dir_loss: 0.139392, loss_cls: 0.468258, loss: 3.035980
epoch[1][180/1856]: lr: 0.000300, aux_loss_cls: 0.092792, aux_loss_reg: 0.599699, rpn_loc_loss: 1.106399, rpn_cls_loss: 0.560601, rpn_dir_loss: 0.137878, loss_cls: 0.378042, loss: 2.875411
epoch[1][200/1856]: lr: 0.000300, aux_loss_cls: 0.078995, aux_loss_reg: 0.574707, rpn_loc_loss: 1.026873, rpn_cls_loss: 0.531322, rpn_dir_loss: 0.133590, loss_cls: 0.302348, loss: 2.647835
epoch[1][220/1856]: lr: 0.000300, aux_loss_cls: 0.073380, aux_loss_reg: 0.504053, rpn_loc_loss: 0.946905, rpn_cls_loss: 0.518686, rpn_dir_loss: 0.136546, loss_cls: 0.283126, loss: 2.462697
epoch[1][240/1856]: lr: 0.000300, aux_loss_cls: 0.077862, aux_loss_reg: 0.476347, rpn_loc_loss: 0.956319, rpn_cls_loss: 0.480570, rpn_dir_loss: 0.136133, loss_cls: 0.299151, loss: 2.426382
epoch[1][260/1856]: lr: 0.000300, aux_loss_cls: 0.064303, aux_loss_reg: 0.482011, rpn_loc_loss: 0.873359, rpn_cls_loss: 0.487862, rpn_dir_loss: 0.136627, loss_cls: 0.298923, loss: 2.343085
epoch[1][280/1856]: lr: 0.000300, aux_loss_cls: 0.067611, aux_loss_reg: 0.445639, rpn_loc_loss: 0.785548, rpn_cls_loss: 0.466571, rpn_dir_loss: 0.134298, loss_cls: 0.262331, loss: 2.161998
epoch[1][300/1856]: lr: 0.000300, aux_loss_cls: 0.061398, aux_loss_reg: 0.448302, rpn_loc_loss: 0.825230, rpn_cls_loss: 0.463582, rpn_dir_loss: 0.130131, loss_cls: 0.278919, loss: 2.207561
epoch[1][320/1856]: lr: 0.000300, aux_loss_cls: 0.055831, aux_loss_reg: 0.455610, rpn_loc_loss: 0.820328, rpn_cls_loss: 0.440201, rpn_dir_loss: 0.135997, loss_cls: 0.263930, loss: 2.171898
