Distributed training: False
Set random seed to 0
**********************Start training**********************
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
finding looplift candidates
epoch[1][20/1856]: lr: 0.000300, aux_loss_cls: 0.523606, aux_loss_reg: 1.000859, rpn_loc_loss: 4.311783, rpn_cls_loss: 7.701875, rpn_dir_loss: 0.174497, loss_cls: 28.899268, loss: 42.611888
epoch[1][40/1856]: lr: 0.000300, aux_loss_cls: 0.305091, aux_loss_reg: 0.969659, rpn_loc_loss: 2.157241, rpn_cls_loss: 0.849890, rpn_dir_loss: 0.136459, loss_cls: 8.291291, loss: 12.709631
epoch[1][60/1856]: lr: 0.000300, aux_loss_cls: 0.211487, aux_loss_reg: 0.879086, rpn_loc_loss: 1.886159, rpn_cls_loss: 0.710681, rpn_dir_loss: 0.137898, loss_cls: 1.514656, loss: 5.339966
epoch[1][80/1856]: lr: 0.000300, aux_loss_cls: 0.156351, aux_loss_reg: 0.875237, rpn_loc_loss: 1.734223, rpn_cls_loss: 0.683356, rpn_dir_loss: 0.138977, loss_cls: 2.426762, loss: 6.014907
epoch[1][100/1856]: lr: 0.000300, aux_loss_cls: 0.162702, aux_loss_reg: 0.838222, rpn_loc_loss: 1.692763, rpn_cls_loss: 0.697696, rpn_dir_loss: 0.139482, loss_cls: 1.067591, loss: 4.598456
epoch[1][120/1856]: lr: 0.000300, aux_loss_cls: 0.160557, aux_loss_reg: 0.832886, rpn_loc_loss: 1.811089, rpn_cls_loss: 0.680952, rpn_dir_loss: 0.146297, loss_cls: 0.225152, loss: 3.856934
epoch[1][140/1856]: lr: 0.000300, aux_loss_cls: 0.157542, aux_loss_reg: 0.834228, rpn_loc_loss: 1.717988, rpn_cls_loss: 0.664524, rpn_dir_loss: 0.140863, loss_cls: 0.664808, loss: 4.179952
epoch[1][160/1856]: lr: 0.000300, aux_loss_cls: 0.153522, aux_loss_reg: 0.797961, rpn_loc_loss: 1.702172, rpn_cls_loss: 0.685697, rpn_dir_loss: 0.140793, loss_cls: 0.718543, loss: 4.198688
epoch[1][180/1856]: lr: 0.000300, aux_loss_cls: 0.145814, aux_loss_reg: 0.802922, rpn_loc_loss: 1.802383, rpn_cls_loss: 0.668760, rpn_dir_loss: 0.137756, loss_cls: 0.538729, loss: 4.096362
epoch[1][200/1856]: lr: 0.000300, aux_loss_cls: 0.140603, aux_loss_reg: 0.789673, rpn_loc_loss: 1.578160, rpn_cls_loss: 0.646243, rpn_dir_loss: 0.136224, loss_cls: 0.496723, loss: 3.787626
epoch[1][220/1856]: lr: 0.000300, aux_loss_cls: 0.147770, aux_loss_reg: 0.710245, rpn_loc_loss: 1.601671, rpn_cls_loss: 0.656990, rpn_dir_loss: 0.138538, loss_cls: 0.411239, loss: 3.666453
